topic,text,size
0,taco,0.0044957179327
0,order,0.00441994001726
0,service,0.00352404835232
0,just,0.0034798622705
0,bell,0.00343453852762
0,time,0.00340081882312
0,place,0.00333961495831
0,like,0.00327086178911
0,drive,0.00286462825276
0,mexican,0.00286394415312
0,good,0.0028534257917
0,minutes,0.00278231361954
0,went,0.00259911439533
0,got,0.00258274463344
0,don,0.0024367090005
0,bad,0.00226280627102
0,location,0.00210841310946
0,ve,0.00209764301188
0,worst,0.00208902105977
0,ordered,0.00206526364066
0,tacos,0.00204974553981
0,wrong,0.00193093302444
0,going,0.00189374061845
0,restaurant,0.0018748891009
0,burrito,0.00181927214553
0,cheese,0.00181920823729
0,people,0.00180991860079
0,took,0.00179862461161
0,salsa,0.00179657608257
0,didn,0.0017704845353
0,really,0.00176024986203
0,manager,0.00173233148624
0,better,0.00172723517704
0,know,0.00169647077751
0,came,0.00169511706789
0,table,0.00167849169041
0,chipotle,0.00166859282664
0,chips,0.0016344565184
0,said,0.00161032535194
0,chicken,0.00160510636431
0,10,0.00158614847823
0,did,0.00158517237207
0,fast,0.00154797327597
0,rude,0.00151747374619
0,eat,0.00151556668204
0,times,0.00150828240644
0,bar,0.00148864068581
0,make,0.0014789822506
0,terrible,0.00147705852837
0,cold,0.00146423338275
0,meal,0.00143395539662
0,sauce,0.00140068265709
0,way,0.00138757334665
0,staff,0.00138284617871
0,night,0.00136672863912
0,sucks,0.00136227290691
0,told,0.0013593789452
0,experience,0.00134738522613
0,say,0.00134634773358
0,horrible,0.0013403821365
0,left,0.00131020770482
0,nice,0.00130903609375
0,employees,0.00129787992139
0,right,0.00128446168678
0,tasted,0.00126602827675
0,pretty,0.00124781808401
0,come,0.00123861543684
0,want,0.00123800917795
0,wait,0.00123305450652
0,long,0.00122955131501
0,asked,0.00122805840656
0,money,0.0012239332837
0,taste,0.0012129902994
0,quality,0.0012125041492
0,great,0.00120755362139
0,waitress,0.0011919552961
0,think,0.00118827239258
0,drink,0.00118648642936
0,slow,0.00118607945342
0,bland,0.00118592482635
0,pay,0.00118438367283
0,love,0.00115566107756
0,server,0.00115162861142
0,eating,0.00114094629681
0,try,0.00114066316027
0,rice,0.00113550726952
0,small,0.00112068366276
0,menu,0.00110401075768
0,waited,0.00109914336212
0,pizza,0.00109788309955
0,beans,0.00107689361737
0,sure,0.00107170477287
0,inside,0.00107101430783
0,sorry,0.00106879043572
0,later,0.00106325833858
0,orders,0.00105275527929
0,day,0.00104995709337
0,won,0.00104581951948
0,waiting,0.00103470636524
0,hour,0.00103115635693
0,wasn,0.00102935341471
0,15,0.00102763606677
0,items,0.0010129975109
0,finally,0.00101104152126
0,wanted,0.000985332069457
0,disappointed,0.000984722420971
0,drinks,0.000981869809462
0,dinner,0.000980876331487
0,lot,0.000976200333329
0,customer,0.000956476000689
0,big,0.00094587364211
0,used,0.000944892172172
0,ll,0.000943854521559
0,awful,0.000937026308227
0,family,0.000913428195957
0,dirty,0.00090683751832
0,aunt,0.000880718279959
0,half,0.000880567652697
0,return,0.000876419325248
0,decided,0.000875779024125
0,tables,0.000874541772317
0,wife,0.000873776328565
0,home,0.000871663517044
0,bowl,0.000870035364396
0,seriously,0.000867772530963
0,restaurants,0.000861264688458
0,sick,0.000858531527108
0,line,0.000850779826515
0,tried,0.00084888115573
0,thing,0.00084470398482
0,sat,0.000843981112397
0,nachos,0.000843795655583
0,new,0.000843091641883
0,cream,0.000841567812193
0,tortilla,0.000839156029428
0,thought,0.000836906323035
0,salad,0.000832641851449
0,outside,0.000829914043373
0,gave,0.000827061901776
0,looked,0.000825418086343
0,free,0.000816436513516
0,sour,0.00081393404261
0,usually,0.000808739592152
0,ok,0.0008069725991
0,attention,0.000805641238631
0,brought,0.000805176480727
0,closed,0.000803373145785
0,person,0.000798265843854
0,steak,0.000796360804695
0,today,0.000792312640965
0,exactly,0.000792031731031
0,waiter,0.000789721880325
0,meat,0.000788723101286
0,water,0.000788143563323
0,walked,0.00078431622184
0,given,0.000783980410673
0,margaritas,0.000783580644388
0,area,0.00077510650656
0,maybe,0.000773012606337
0,patio,0.000769339725495
0,beef,0.000764922157873
0,lunch,0.000763470557633
0,party,0.000759579730844
0,close,0.000756877169835
0,working,0.000756360736576
0,look,0.000755853723454
0,poor,0.000751503437644
0,entire,0.000751498706354
0,cool,0.000749257018033
0,customers,0.000749126826578
0,hard,0.000748616969276
0,completely,0.000747970999403
0,year,0.000746446275304
0,old,0.000745953154664
0,flavor,0.000744662253817
0,check,0.000743618874926
0,little,0.000742732874008
0,sitting,0.000730451144124
0,star,0.000728214884594
0,seated,0.000724973586023
0,years,0.000720559858456
0,real,0.000720335117949
0,second,0.000715344653363
0,looks,0.000714456483458
0,expensive,0.000711355167781
0,called,0.000710442510651
0,recommend,0.000710419612654
0,unfortunately,0.000709036983122
0,isn,0.000707694506005
0,30,0.000703737006959
0,guess,0.000703203095497
0,changed,0.000701236191327
0,leave,0.000700725318358
0,happy,0.000700399587257
0,cars,0.000699975882424
0,quick,0.000696606934777
0,sad,0.000691590606005
0,burritos,0.00068908499314
0,waste,0.000688066653613
0,chilada,0.0006880050938
0,extra,0.000677329951495
0,run,0.000676430458071
0,friend,0.000673511630391
0,tonight,0.000671495292676
0,counter,0.000669637274029
0,couple,0.000667757529127
0,dont,0.000667127607603
0,away,0.000666938801093
0,bartender,0.000663124149872
0,window,0.000661873248417
0,group,0.000660960254039
0,definitely,0.000659872532563
0,let,0.000659564955499
0,oh,0.000659205626516
0,bag,0.000658394953812
0,worth,0.000655672357871
0,does,0.000655300426675
0,actually,0.000654378351218
0,stopped,0.000653999626306
0,understand,0.000647765528957
0,man,0.000646037567538
0,ask,0.000645214730448
0,twice,0.000642612943324
0,quesadilla,0.000641538486329
0,tell,0.000637050435727
0,bit,0.000633031676351
0,instead,0.000632285529031
0,sit,0.00062650781236
0,establishment,0.00062563308316
0,disgusting,0.00062278666132
0,fish,0.000622033710317
0,enchilada,0.000621808598531
0,gloves,0.000620687972333
0,store,0.000620008451812
0,stomach,0.000617533636593
0,guy,0.000616362195758
0,reviews,0.000614095556096
0,getting,0.000613984086449
0,price,0.000613966222042
0,carne,0.000612457190655
0,point,0.000611977678968
0,kitchen,0.000611813095025
0,poisoning,0.000611606965229
0,stars,0.000607420794549
0,hungry,0.000607131418137
0,ago,0.000606320285314
0,felt,0.000606270868092
0,returning,0.000603414769735
0,shrimp,0.000601378908286
0,management,0.000598463385073
0,busy,0.000598193693592
0,dish,0.000598176981001
0,soft,0.000597393166331
0,review,0.000596397998649
0,girl,0.000595214888887
0,avoid,0.000594915571717
0,beer,0.000593478712175
0,believe,0.00059194942898
0,ingredients,0.000591357263536
0,visit,0.000590930357206
0,guys,0.000589411057827
0,corn,0.000588746397349
0,warm,0.000585988861798
0,probably,0.000585898872343
0,past,0.000585668441166
0,prices,0.00058541538795
0,decent,0.000582769280853
0,veggies,0.000581477534924
0,thanks,0.000580704791508
0,piece,0.000579776427193
0,open,0.00057808508423
0,best,0.000574952219513
0,20,0.000573378411407
0,different,0.000568461502551
0,non,0.000562723793363
0,kids,0.000561272443644
0,use,0.000558907688859
0,stuff,0.000558534939055
0,attitude,0.000555779322909
0,door,0.000555119529897
0,work,0.000552964414912
0,says,0.000552201039275
0,need,0.000551364592435
0,size,0.000548794184907
0,ready,0.00054744055034
0,placed,0.000546423768278
0,mess,0.000545676047827
0,eaten,0.000541617853572
0,bite,0.000541098246716
0,yesterday,0.000541073234117
0,friends,0.000540067312103
0,monroe,0.000539980308313
0,gone,0.000539871703848
